id,ABSTRACT,Computer Science,Mathematics,Physics,Statistics
9409,"fundamental frequency (f0) approximation from polyphonic music includes a tasks of multiple-f0, melody, vocal, and bass line estimation. historically these problems have been approached separately, and only recently, with the help of learning-based approaches. we present the multitask deep learning architecture that jointly estimates outputs considering various tasks including multiple-f0, melody, vocal and bass line estimation, and was trained with the help of the large, semi-automatically annotated dataset. we show that a multitask model outperforms its single-task counterparts, and explore a effect of various design decisions inside our approach, and show that it performs better or at least competitively when compared against strong baseline methods.",0,0,0,1
17934,"this large-scale study, consisting of 24.5 million hand hygiene opportunities spanning 19 distinct facilities inside 10 different states, uses linear predictive models to expose factors that may affect hand hygiene compliance. we examine a use of features such as temperature, relative humidity, influenza severity, day/night shift, federal holidays and a presence of new residents inside predicting daily hand hygiene compliance. a results suggest that colder temperatures and federal holidays have an adverse effect on hand hygiene compliance rates, and that individual cultures and attitudes regarding hand hygiene seem to exist among facilities.",1,0,0,1
16071,"we present a stability analysis of the plane couette flow which was stably stratified inside a vertical direction orthogonally to a horizontal shear. interest inside such the flow comes from geophysical and astrophysical applications where background shear and vertical stable stratification commonly coexist. we perform a linear stability analysis of a flow inside the domain which was periodic inside a stream-wise and vertical directions and confined inside a cross-stream direction. a stability diagram was constructed as the function of a reynolds number re and a froude number fr, which compares a importance of shear and stratification. we find that a flow becomes unstable when shear and stratification are of a same order (i.e. fr $\sim$ 1) and above the moderate value of a reynolds number re$\gtrsim$700. a instability results from the resonance mechanism already known inside a context of channel flows, considering instance a unstratified plane couette flow inside a shallow water approximation. a result was confirmed by fully non linear direct numerical simulations and to a best of our knowledge, constitutes a first evidence of linear instability inside the vertically stratified plane couette flow. we also report a study of the laboratory flow generated by the transparent belt entrained by two vertical cylinders and immersed inside the tank filled with salty water linearly stratified inside density. we observe a emergence of the robust spatio-temporal pattern close to a threshold values of f r and re indicated by linear analysis, and explore a accessible part of a stability diagram. with a support of numerical simulations we conclude that a observed pattern was the signature of a same instability predicted by a linear theory, although slightly modified due to streamwise confinement.",0,0,1,0
16870,"we construct finite time blow-up solutions to a 2-dimensional harmonic map flow into a sphere $s^2$, \begin{align*} u_t & = \delta u + |\nabla u|^2 u \quad \text{in } \omega\times(0,t) \\ u &= \varphi \quad \text{on } \partial \omega\times(0,t) \\ u(\cdot,0) &= u_0 \quad \text{in } \omega , \end{align*} where $\omega$ was the bounded, smooth domain inside $\mathbb{r}^2$, $u: \omega\times(0,t)\to s^2$, $u_0:\bar\omega \to s^2$ was smooth, and $\varphi = u_0\big|_{\partial\omega}$. given any points $q_1,\ldots, q_k$ inside a domain, we find initial and boundary data so that a solution blows-up precisely at those points. a profile around each point was close to an asymptotically singular scaling of the 1-corrotational harmonic map. we build the continuation after blow-up as the $h^1$-weak solution with the finite number of discontinuities inside space-time by ""reverse bubbling"", which preserves a homotopy class of a solution after blow-up.",0,1,0,0
10496,"planetary nebulae (pne) constitute an important tool to study a chemical evolution of a milky way and other galaxies, probing a nucleosynthesis processes, abundance gradients and a chemical enrichment of a interstellar medium. inside particular, galactic bulge pne (gbpne) have been extensively used inside a literature to study a chemical properties of this galactic structure. however, a presently available gbpne chemical composition studies are strongly biased, since they were focused on brighter objects, predominantly located inside galactic regions of low interstellar reddening. inside this work, we report physical parameters and abundances derived considering the sample of 17 high extinction pne located inside a inner 2\degr of a galactic bulge, based on low dispersion spectroscopy secured at a soar telescope with the help of a goodman spectrograph. a new data allow us to extend our database including faint objects, providing chemical compositions considering pne located inside this region of a bulge and an approximation considering a masses of their progenitors to explore a chemical enrichment history of a central region of a galactic bulge. a results show that there was an enhancement inside a n/o abundance ratio inside a galactic centre pne compared with pne located inside a outer regions of a galactic bulge. this may indicate recent episodes of star formation occurring near a galactic centre.",0,0,1,0
4878,"with a recent advancements inside artificial intelligence (ai), various organizations and individuals started debating about a progress of ai as the blessing or the curse considering a future of a society. this paper conducts an investigation on how a public perceives a progress of ai by utilizing a data shared on twitter. specifically, this paper performs the comparative analysis on a understanding of users from two categories -- general ai-tweeters (ait) and a expert ai-tweeters (eait) who share posts about ai on twitter. our analysis revealed that users from both a categories express distinct emotions and interests towards ai. users from both a categories regard ai as positive and are optimistic about a progress of ai but a experts are more negative than a general ai-tweeters. characterization of users manifested that `london' was a popular location of users from where they tweet about ai. tweets posted by ait are highly retweeted than posts made by eait that reveals greater diffusion of information from ait.",1,0,0,0
4612,"model-based optimization methods and discriminative learning methods have been a two dominant strategies considering solving various inverse problems inside low-level vision. typically, those two kinds of methods have their respective merits and drawbacks, e.g., model-based optimization methods are flexible considering handling different inverse problems but are usually time-consuming with sophisticated priors considering a purpose of good performance; inside a meanwhile, discriminative learning methods have fast testing speed but their application range was greatly restricted by a specialized task. recent works have revealed that, with a aid of variable splitting techniques, denoiser prior should be plugged inside as the modular part of model-based optimization methods to solve other inverse problems (e.g., deblurring). such an integration induces considerable advantage when a denoiser was obtained using discriminative learning. however, a study of integration with fast discriminative denoiser prior was still lacking. to this end, this paper aims to train the set of fast and effective cnn (convolutional neural network) denoisers and integrate them into model-based optimization method to solve other inverse problems. experimental results demonstrate that a learned set of denoisers not only achieve promising gaussian denoising results but also should be used as prior to deliver good performance considering various low-level vision applications.",1,0,0,0
18718,"inside a present work the new controller called particle swarm optimization based state feedback gain controller has been proposed considering frequency regulation of the two area system and then its performance was compared with earlier designed controllers such as linear quadratic regulator proportional integral controller and integral controller. a performance comparison has been done considering a power system network comprising of two thermal power plants which are tie line connected. considering with the help of a optimal control based method such as lqr pi controller and computationally intelligent method such as pso based state feedback gain controller, a state space modeling of a system has been done. transfer function model considering a system was used considering finding a response of integral controller. inside an effective generation control scheme a change inside frequency should be minimum during a load variation. a proposed pso based state feedback gain controller technique has been found most effective considering improving a frequency response.",0,1,0,0
12389,"we study a problem of community detection inside hypergraphs under the stochastic block model. similarly to how a stochastic block model inside graphs suggests studying spiked random matrices, our model motivates investigating statistical and computational limits of exact recovery inside the certain spiked tensor model. inside contrast with a matrix case, a spiked model naturally arising from community detection inside hypergraphs was different from a one arising inside a so-called tensor principal component analysis model. we investigate a effectiveness of algorithms inside a sum-of-squares hierarchy on these models. interestingly, our results suggest that these two apparently similar models exhibit significantly different computational to statistical gaps.",1,1,0,1
4835,"graphene nanoribbons (gnrs) are ultra-narrow strips of graphene that have a potential to be used inside high-performance graphene-based semiconductor electronics. however, controlled growth of gnrs on dielectric substrates remains the challenge. here, we report a successful growth of gnrs directly on hexagonal boron nitride substrates with smooth edges and controllable widths with the help of chemical vapour deposition. a idea behind the method was based on the type of template growth that allows considering a in-plane epitaxy of mono-layered gnrs inside nano-trenches on hexagonal boron nitride with edges following the zigzag direction. a embedded gnr channels show excellent electronic properties, even at room temperature. such in-plane hetero-integration of gnrs, which was compatible with integrated circuit processing, creates the gapped channel with the width of the few benzene rings, enabling a development of digital integrated circuitry based on gnrs.",0,0,1,0
11612,"with a rise inside militant activity and rogue behaviour inside oil and gas regions around a world, oil pipeline disturbances was on a increase leading to huge losses to multinational operators and a countries where such facilities exist. however, this situation should be averted if adequate predictive monitoring schemes are put inside place. we propose inside a first part of this paper, an artificial intelligence predictive monitoring system capable of predictive classification and pattern recognition of pipeline datasets. a predictive system was based on the highly sparse predictive deviant learning algorithm (p-dla) designed to synthesize the sequence of memory predictive clusters considering eventual monitoring, control and decision making. a dla (p-dla) was compared with the popular machine learning algorithm, a long short-term memory (lstm) which was based on the temporal version of a standard feed-forward back-propagation trained artificial neural networks (anns). a results of simulations study show impressive results and validates a sparse memory predictive idea behind the method which favours a sub-synthesis of the highly compressed and low dimensional knowledge discovery and information prediction scheme. it also shows that a proposed new idea behind the method was competitive with the well-known and proven ai idea behind the method such as a lstm.",1,0,0,0
13800,"inside magnetohydrodynamic (mhd) turbulence, a large-scale magnetic field sets the preferred local direction considering a small-scale dynamics, altering a statistics of turbulence from a isotropic case. this happens even inside a absence of the total magnetic flux, since mhd turbulence forms randomly oriented large-scale domains of strong magnetic field. it was therefore customary to study small-scale magnetic plasma turbulence by assuming the strong background magnetic field relative to a turbulent fluctuations. this was done, considering example, inside reduced models of plasmas, such as reduced mhd, reduced-dimension kinetic models, gyrokinetics, etc., which make theoretical calculations easier and numerical computations cheaper. recently, however, it has become clear that a turbulent energy dissipation was concentrated inside a regions of strong magnetic field variations. the significant fraction of a energy dissipation may be localized inside very small volumes corresponding to a boundaries between strongly magnetized domains. inside these regions a reduced models are not applicable. this has important implications considering studies of particle heating and acceleration inside magnetic plasma turbulence. a goal of this work was to systematically investigate a relationship between local magnetic field variations and magnetic energy dissipation, and to understand its implications considering modeling energy dissipation inside realistic turbulent plasmas.",0,0,1,0
2339,"the core challenge inside a analysis of experimental data was that a impact of some intervention was often not entirely captured by the single, well-defined outcome. instead there may be the large number of outcome variables that are potentially affected and of interest. inside this paper, we propose the data-driven idea behind the method rooted inside machine learning to a problem of testing effects on such groups of outcome variables. it was based on two simple observations. first, a 'false-positive' problem that the group of outcomes was similar to a concern of 'over-fitting,' which has been a focus of the large literature inside statistics and computer science. we should thus leverage sample-splitting methods from a machine-learning playbook that are designed to control over-fitting to ensure that statistical models express generalizable insights about treatment effects. a second simple observation was that a question whether treatment affects the group of variables was equivalent to a question whether treatment was predictable from these variables better than some trivial benchmark (provided treatment was assigned randomly). this formulation allows us to leverage data-driven predictors from a machine-learning literature to flexibly mine considering effects, rather than rely on more rigid approaches like multiple-testing corrections and pre-analysis plans. we formulate the specific methodology and present three kinds of results: first, our test was exactly sized considering a null hypothesis of no effect; second, the specific version was asymptotically equivalent to the benchmark joint wald test inside the linear regression; and third, this methodology should guide inference on where an intervention has effects. finally, we argue that our idea behind the method should naturally deal with typical features of real-world experiments, and be adapted to baseline balance checks.",0,0,0,1
10008,"(bedt-tff)$_2$i$_3$ charge transfer salts are reported to show superconductivity and pressure induced quasi two-dimensional dirac cones at a fermi level. by performing state of a art ab initio calculations inside a framework of density functional theory, we investigate a structural and electronic properties of a three structural phases $\alpha$, $\beta$ and $\kappa$. \edit{we furthermore report about a irreducible representations of a corresponding electronic band structures, symmetry of their crystal structure, and discuss a origin of band crossings. additionally, we discuss a chemically induced strain inside $\kappa$-(bedt-ttf)$_2$i$_3$ achieved by replacing a iodine layer with other halogens: fluorine, bromine and chlorine. inside a case of $\kappa$-(bedt-ttf)$_2$f$_3$, we identify topologically protected crossings within a band structure. these crossings are forced to occur due to a non-symmorphic nature of a crystal.} a calculated electronic structures presented here are added to a organic materials database (omdb).",0,0,1,0
